STUDENT_ID,SCHEMA_ID,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CAT_SCORE,DOMAIN,CANTON_NAME
5,7,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
5,8,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
5,9,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
5,10,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
5,11,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
5,12,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
6,1,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,2,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,3,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,4,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,5,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,6,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,7,2,0,From 10 to 13 years old,13,Male,2.0,9,C,2,Unplugged,Ticino (TI)
6,8,2,0,From 10 to 13 years old,13,Male,2.0,9,C,2,Unplugged,Ticino (TI)
6,9,2,0,From 10 to 13 years old,13,Male,2.0,9,C,2,Unplugged,Ticino (TI)
6,10,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,11,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
6,12,2,0,From 10 to 13 years old,13,Male,2.0,9,C,2,Unplugged,Ticino (TI)
7,1,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,2,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,3,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,4,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,5,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,6,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
7,7,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
7,8,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
7,9,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
7,10,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
7,11,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
7,12,2,0,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
8,1,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,2,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,3,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,4,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,5,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,6,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
8,7,2,0,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
8,8,2,0,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
8,9,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
8,10,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
8,11,2,2,From 10 to 13 years old,12,Female,2.0,9,C,4,Unplugged,Ticino (TI)
8,12,2,0,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
9,1,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
9,2,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
9,3,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
9,4,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
9,5,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
9,6,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
9,7,1,2,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
9,8,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
9,9,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
9,10,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
9,11,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
9,12,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
10,1,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,2,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,3,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,4,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,5,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,6,2,1,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
10,7,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
10,8,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
